alumnnatverk.uu.se 130.238.4.82
bmc.uu.se 185.195.92.131
botan.uu.se 185.195.94.32
cb.uu.se 130.238.12.116
cpthunberg.ebc.uu.se 130.238.83.216
ebc.uu.se 185.195.94.32
evolutionsmuseet.uu.se 185.195.92.131
gustavianum.uu.se 185.195.92.131
ieg.uu.se 185.195.94.32
ws2.bmc.uu.se 130.238.55.23
it.uu.se 130.238.12.100
kemi.uu.se 185.195.94.32
musik.uu.se 185.195.94.32
math.uu.se 185.195.94.32
mp.uu.se 130.238.7.107
mp.uu.se 130.238.7.106
physics.uu.se 185.195.94.32
polacksbacken.uu.se 130.238.12.56
ub.uu.se 185.195.94.32
uppmax.uu.se 185.195.92.131
user.it.uu.se 130.238.12.130
uuc-web005.its.uu.se 130.238.7.35
